customer,event,year,sample_id,quantity,po_number,po_date,status
AAB-MLE,1st,2025,BB-1,108,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,BB-2,108,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,BB-3,108,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,BB-4,108,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,BB-5,108,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,AB-1,79,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,AB-2,79,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,AB-3,79,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,AB-4,79,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,AB-5,79,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,XM-1,67,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,DAT-1,12,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,DAT-2,12,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,RH-1,44,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,RH-2,44,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,RH-3,44,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,RH-4,44,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,1st,2025,RH-5,44,AAB-MLE2025015,11/19/2024,Confirmed
AAB-MLE,2nd,2025,BB-6,80,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,BB-7,80,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,BB-8,80,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,BB-9,80,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,BB-10,80,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,AB-6,58,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,AB-7,58,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,AB-8,58,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,AB-9,58,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,AB-10,58,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,XM-6,46,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,DAT-6,12,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,DAT-7,12,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,RH-6,46,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,RH-7,46,AAB-MLE2025031,3/4/2025,Confirmed
AAB-MLE,2nd,2025,RH-8,46,AAB-MLE2025031,3/4/2025,Confirmed
